18:59:42 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:00:58 [AccountInfo] Account disconnected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:01:04 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:05:40 [AccountInfo] Account disconnected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:06:37 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:07:03 [AccountInfo] Account disconnected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:07:05 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:14:03 [AccountInfo] Account disconnected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:16:16 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:21:20 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:26:00 [AccountInfo] Account disconnected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:29:36 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:30:38 [AccountInfo] Account disconnected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:33:15 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:34:34 [AccountInfo] Account disconnected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:43:27 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:47:48 [AccountInfo] Account disconnected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:50:46 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
19:53:13 [AccountInfo] Account disconnected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
20:05:15 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
20:14:00 [AccountInfo] Account disconnected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
20:25:36 [AccountInfo] Account connected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
20:27:34 [AccountInfo] Account disconnected (Account: admin, IpAddress: 10.1.66.95, GameServerCode: 0)
